Bairro,mais de 5 salários,Faixa etária,Densidade
Vila Rica,23.04,12.57,6897
Vila do Pombal,2.46,13.93,35500
Cidade Jardim Taquaril,17.2,14.65,83
Vila Batik,0,15.24,16000
Pirineus,10.46,15.59,1235
Pindura Saia,3.73,15.67,38250
Vila São Francisco,0,15.79,23000
Campo Alegre,4.83,16.02,12793
Braúnas,13.81,16.08,1014
Vila Fumec,4.84,16.13,24000
Vila Jardim Montanhes,0.47,16.28,0
Marilandia,1.56,16.3,0
Vila Minaslandia,0.53,16.67,0
Santa Isabel,4,16.8,23167
Mangabeiras,47.02,16.8,308
São Cristóvão,8.39,16.88,9585
Túnel de Ibirité,5.9,16.99,9713
Vila Real 1ª Seção,0,17.05,0
Vila Nova Gameleira 3ª Seção,5.81,17.44,0
Alípio de Melo,14.74,17.47,8069
Cidade Jardim,38.79,17.59,2990
Vila da Paz,01.05,17.72,29667
Vale do Jatoba,2.87,17.73,0
Conjunto Lagoa,8.28,17.76,9068
Vila Tirol,0,17.84,26000
Cônego Pinheiro 2ª Seção,2.56,17.95,0
Belvedere,48.69,17.98,3022
Primeiro de Maio,1.79,17.98,12810
Garças,27.6,18.04,773
Custodinha,0,18.05,35444
Santa Inês,18.6,18.05,8117
Bairro das Indústrias II,3.59,18.06,5869
Barreiro,13.4,18.12,6389
Vila Betânia,1.75,18.13,9750
Esplanada,14.88,18.13,9975
Bonfim,10.08,18.19,0
Ademar Maldonado,9.36,18.24,11061
Santa Margarida,3.17,18.3,9134
Renascença,14.8,18.34,10328
Vila Nossa Senhora do Rosário,2.67,18.36,24036
São Sebastião,0,18.43,18737
São Jorge 1ª Seção,01.01,18.54,0
Barão Homem de Melo 2ª Seção,1.2,18.56,0
Alta Tensão 1ª Seção,0.3,18.56,0
Minas Caixa,3.95,18.59,0
Serra,39.12,18.65,13201
Pompéia,9.75,18.65,9703
Conjunto Celso Machado,16.2,18.82,8145
Jaraguá,24.2,18.84,8038
Canadá,10.11,18.88,5348
Marajó,5.16,18.9,10646
Marieta 2ª Seção,0.61,18.9,0
Morro dos Macacos,0.35,18.95,22667
Vila Boa Vista,0.84,18.97,30903
Castelo,34.26,18.97,7091
Nova America,0,18.99,0
Bandeirantes,29.22,19,1137
São Gonçalo,2.99,19.05,10691
Novo Glória,4.29,19.06,11096
Penha,4.74,19.06,10402
Comiteco,46.17,19.1,2431
Conjunto Serra Verde,0.96,19.14,16000
Palmares,32.01,19.16,0
Nova Floresta,22.26,19.17,10529
São Damião,0,19.17,1475
Atila de Paiva,6.97,19.17,0
Vila Nova Cachoeirinha 2ª Seção,0,19.2,0
Sion,46.23,19.2,16485
Capitão Eduardo,0.49,19.21,249
Vila Trinta e Um de Março,0.68,19.22,28241
São Paulo,5.85,19.26,7440
Lorena,06.02,19.28,18200
Vera Cruz,6.56,19.31,8621
CDI Jatoba,0.55,19.34,0
Vila Copasa,0.36,19.34,32100
Granja de Freitas,0.44,19.36,4377
Estrela do Oriente,6.57,19.36,4705
Luxemburgo,47.91,19.37,10309
São Lucas,31.68,19.43,10300
Glória,5.23,19.44,8843
Candelaria,6.58,19.44,0
Santa Maria,6.94,19.45,9652
Santa Rosa,20.01,19.45,9772
Anchieta,45.09,19.46,18278
Cinquentenário,11.27,19.49,7867
Planalto,12.69,19.51,6726
Vila Cloris,10.7,19.51,0
Graça,22.74,19.53,11275
Sagrada Família,21.09,19.55,15013
Vila Suzana Primeira Seção,3.23,19.57,0
Saudade,7.12,19.57,8224
Gutierrez,40,19.57,14051
Vila das Oliveiras,1.83,19.63,20083
Santa Helena,07.05,19.66,9063
Grajaú,35.47,19.68,14739
Pindorama,3.25,19.69,10953
Minas Brasil,23.33,19.7,10770
Nova Vista,7.69,19.7,12205
Jonas Veiga,5.89,19.73,4914
Aguas Claras,0.24,19.76,0
Santa Tereza,23.67,19.77,10063
Beija Flor,2.54,19.77,1906
Aarão Reis,3.69,19.81,8895
Santo Agostinho,43.84,19.88,11905
Vila Oeste,2.54,19.88,29756
Chácara Leonina,0.58,19.88,11421
Eymard,3.69,19.89,6645
Trevo,7.67,19.93,2250
Funcionários,47.26,19.94,13231
Horto Florestal,5.9,19.95,3011
Senhor dos Passos,1.22,19.97,22792
Savassi,49.19,19.97,9926
São Geraldo,4.99,19.98,10475
Santa Amelia,20.28,19.99,0
Mirante,0,20,31389
Alto das Antenas,0,20,2462
Jardim São José,2.4,20.02,10967
Santa Monica,8.46,20.05,0
Califórnia,4.68,20.06,1781
Paraíso,10.53,20.08,10162
